Sitename: Willow Creek Wisconsin USA
Location: Latitude: 45.9059  Longitude: -90.0799  Elevation (masl): 515
Principal investigator: Ankur Desai
Ecosystem type: DBF Deciduous Broadleaf Forest
File creation date: 11MAY2011
Data Policy -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data. 
In addition when publishing please acknowledge the agency that supported the research. --
File Origin - This file was created at Oak Ridge National Laboratory by the AmeriFlux and FLUXNET data management groups.
These groups are supported by the U.S. Department of Energy and National Aeronautics and Space Administration. 
This standardized file is identical in format to other standardized files provided here with a goal of aiding intersite comparisons  multi-site syntheses and modeling activities. 
Questions about these standardized files should be addressed to Tom Boden (bodenta@ornl.gov) .
YEAR, GAP, DTIME, DOY, HRMIN, UST, TA, WD, WS, NEE, FC, SFC, H, SH, LE, SLE, FG, TS1, TSdepth1, TS2, TSdepth2, PREC, RH, PRESS, CO2, VPD, SWC1, SWC2, Rn, PAR, Rg, Rgdif, PARout, RgOut, Rgl, RglOut, H2O, RE, GPP, CO2top, CO2height, APAR, PARdif, APARpct, ZL
YEAR, GAP, DTIME, DOY, HRMIN, m/s, deg C, deg, m/s, umol/m2/s, umol/m2/s, umol/m2/s, W/m2, W/m2, W/m2, W/m2, W/m2, deg C, cm, deg C, cm, mm, %, kPa, umol/mol, kPa, %, %, W/m2, umol/m2/s, W/m2, W/m2, umol/m2/s, W/m2, W/m2, W/m2, mmol/mol, umol/m2/s, umol/m2/s, umol/mol, m, umol/m2/s, umol/m2/s, %, unitless
100.0,100.0,100.0 , 100.0 , 100.0,  85.9, 90.4, 86.2, 86.5, 53.5, 66.0, 76.1, 66.0,  0.0, 66.0,  0.0, 99.6, 99.6,100.0, 99.6,100.0, 99.9, 99.6, 99.3, 97.8, 90.4, 99.6, 99.6, 90.4, 99.6, 90.4,  0.0,  0.0, 90.4, 90.4, 90.4, 90.3,100.0,100.0, 97.8,100.0,  0.0,  0.0,  0.0,  0.0
2005,0,1.00000,1,000,0.359,-11.794,326.355,2.485,0.734,0.696,0.039,-2.855,-6999,0.071,-6999,4.629,1.538,0,1.748,5,0,100,96.046,383.947,0,35.085,31.607,-67.482,0,0,-6999,-6999,1.568,194.851,260.766,2.22,0.762,0,383.955,29.6,-6999,-9999,-6999,-6999
2005,0,1.02083,1,030,0.412,-12.08,338.469,2.282,0.786,0.447,0.339,-3.073,-6999,-0.215,-6999,4.754,1.395,0,1.611,5,0,100,96.052,384.501,0,35.071,31.608,-66.007,0.002,0,-6999,-6999,1.488,195.433,259.953,2.238,0.699,0,384.423,29.6,-6999,-9999,-6999,-6999
2005,0,1.04167,1,100,0.181,-12.272,258.634,1.569,-0.011,0.18,-0.191,-4.606,-6999,-0.17,-6999,5.88,1.121,0,1.311,5,0,100,96.093,384.091,0,35.056,31.607,-65.639,0.039,0,-6999,-6999,1.572,194.062,258.13,2.248,0.578,0,384.42,29.6,-6999,-9999,-6999,-6999
2005,0,1.06250,1,130,0.244,-12.562,220.265,1.512,0.853,0.189,0.665,-10.053,-6999,-0.088,-6999,6.714,1.15,0,1.346,5,0,100,96.21,383.928,0,35.038,31.603,-40.196,0.013,0,-6999,-6999,1.053,219.325,258.469,2.208,0.591,0,384.399,29.6,-6999,-9999,-6999,-6999
2005,0,1.08333,1,200,0.166,-12.616,259.895,1.162,0.516,0.458,0.058,-9.935,-6999,-0.352,-6999,6.588,1.509,0,1.699,5,0,100,96.287,384.535,0,35.022,31.601,-34.721,0.001,0,-6999,-6999,1.116,225.167,258.773,2.202,0.739,0,384.436,29.6,-6999,-9999,-6999,-6999
2005,0,1.10417,1,230,0.11,-12.654,326.427,1.618,-0.119,0.337,-0.455,-0.306,-6999,-0.175,-6999,6.296,1.549,0,1.744,5,0,100,96.324,384.325,0,35.008,31.6,-39.014,0,0,-6999,-6999,1.431,218.972,256.555,2.21,0.76,0,384.249,29.6,-6999,-9999,-6999,-6999
2005,0,1.12500,1,300,0.219,-12.72,339.009,1.315,0.426,0.591,-0.164,-8.263,-6999,0.916,-6999,6.005,1.643,0,1.848,5,0,100,96.316,384.248,0,34.993,31.598,-33.78,0,0,-6999,-6999,1.309,224.286,256.759,2.216,0.812,0,384.191,29.6,-6999,-9999,-6999,-6999
2005,0,1.14583,1,330,0.181,-13.069,316.758,0.946,-0.202,-0.429,0.227,-6.223,-6999,0.021,-6999,5.796,1.583,0,1.793,5,0,100,96.374,384.508,0,34.977,31.597,-29.18,0,0,-6999,-6999,1.071,228.046,256.155,2.165,0.784,0,384.493,29.6,-6999,-9999,-6999,-6999
