"Plot Title: Eno_A"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10872407, SEN S/N: 10872407)","Temp, °C (LGR S/N: 10872407, SEN S/N: 10872407)","Coupler Detached (LGR S/N: 10872407)","Coupler Attached (LGR S/N: 10872407)","Stopped (LGR S/N: 10872407)","End Of File (LGR S/N: 10872407)"
1,11/16/16 10:30:00 AM,99.645,12.401,Logged,,,
2,11/16/16 10:45:00 AM,99.660,11.528,,,,
3,11/16/16 11:00:00 AM,99.631,11.334,,,,
4,11/16/16 11:15:00 AM,99.607,11.528,,,,
5,11/16/16 11:30:00 AM,99.571,11.916,,,,
6,11/16/16 11:45:00 AM,99.565,12.497,,,,
7,11/16/16 12:00:00 PM,99.537,13.076,,,,
8,11/16/16 12:15:00 PM,99.565,13.461,,,,
9,11/16/16 12:30:00 PM,99.490,13.942,,,,
10,11/16/16 12:45:00 PM,99.469,14.421,,,,
11,11/16/16 01:00:00 PM,99.458,14.900,,,,
12,11/16/16 01:15:00 PM,99.438,15.187,,,,
13,11/16/16 01:30:00 PM,99.440,15.473,,,,
14,11/16/16 01:45:00 PM,99.427,15.664,,,,
15,11/16/16 02:00:00 PM,99.404,15.855,,,,
16,11/16/16 02:15:00 PM,99.412,16.046,,,,
17,11/16/16 02:30:00 PM,99.416,16.141,,,,
18,11/16/16 02:45:00 PM,99.409,16.237,,,,
19,11/16/16 03:00:00 PM,99.413,16.332,,,,
20,11/16/16 03:15:00 PM,99.424,16.332,,,,
21,11/16/16 03:30:00 PM,99.424,16.332,,,,
22,11/16/16 03:45:00 PM,99.441,16.237,,,,
23,11/16/16 04:00:00 PM,99.448,16.141,,,,
24,11/16/16 04:15:00 PM,99.454,16.046,,,,
25,11/16/16 04:30:00 PM,99.478,15.855,,,,
26,11/16/16 04:45:00 PM,99.480,15.664,,,,
27,11/16/16 05:00:00 PM,99.495,15.282,,,,
28,11/16/16 05:15:00 PM,99.489,14.900,,,,
29,11/16/16 05:30:00 PM,99.500,14.421,,,,
30,11/16/16 05:45:00 PM,99.495,14.038,,,,
31,11/16/16 06:00:00 PM,99.527,13.558,,,,
32,11/16/16 06:15:00 PM,99.548,13.076,,,,
33,11/16/16 06:30:00 PM,99.552,12.690,,,,
34,11/16/16 06:45:00 PM,99.578,12.304,,,,
35,11/16/16 07:00:00 PM,99.593,11.916,,,,
36,11/16/16 07:15:00 PM,99.597,11.528,,,,
37,11/16/16 07:30:00 PM,99.605,11.236,,,,
38,11/16/16 07:45:00 PM,99.635,10.944,,,,
39,11/16/16 08:00:00 PM,99.643,10.651,,,,
40,11/16/16 08:15:00 PM,99.651,10.357,,,,
41,11/16/16 08:30:00 PM,99.649,10.063,,,,
42,11/16/16 08:45:00 PM,99.667,9.768,,,,
43,11/16/16 09:00:00 PM,99.701,9.571,,,,
44,11/16/16 09:15:00 PM,99.703,9.373,,,,
45,11/16/16 09:30:00 PM,99.721,9.077,,,,
46,11/16/16 09:45:00 PM,99.713,8.879,,,,
47,11/16/16 10:00:00 PM,99.704,8.680,,,,
48,11/16/16 10:15:00 PM,99.706,8.481,,,,
49,11/16/16 10:30:00 PM,99.718,8.282,,,,
50,11/16/16 10:45:00 PM,99.730,8.082,,,,
51,11/16/16 11:00:00 PM,99.732,7.882,,,,
52,11/16/16 11:15:00 PM,99.744,7.682,,,,
53,11/16/16 11:30:00 PM,99.746,7.481,,,,
54,11/16/16 11:45:00 PM,99.779,7.280,,,,
55,11/17/16 12:00:00 AM,99.764,7.179,,,,
56,11/17/16 12:15:00 AM,99.776,6.978,,,,
57,11/17/16 12:30:00 AM,99.767,6.775,,,,
58,11/17/16 12:45:00 AM,99.805,6.674,,,,
59,11/17/16 01:00:00 AM,99.817,6.471,,,,
60,11/17/16 01:15:00 AM,99.829,6.268,,,,
61,11/17/16 01:30:00 AM,99.835,6.166,,,,
62,11/17/16 01:45:00 AM,99.826,5.962,,,,
63,11/17/16 02:00:00 AM,99.832,5.860,,,,
64,11/17/16 02:15:00 AM,99.854,5.655,,,,
65,11/17/16 02:30:00 AM,99.870,5.552,,,,
66,11/17/16 02:45:00 AM,99.866,5.450,,,,
67,11/17/16 03:00:00 AM,99.888,5.244,,,,
68,11/17/16 03:15:00 AM,99.905,5.141,,,,
69,11/17/16 03:30:00 AM,99.921,5.037,,,,
70,11/17/16 03:45:00 AM,99.912,4.831,,,,
