Serial_number:
1050470
Project ID:
NSF MTM
Location:
SallyFork2
LEVEL
UNIT: m
Offset: 0.000000 m
Altitude: 0.000000 m
Density: 1.000000 kg/L
TEMPERATURE
UNIT: Deg C
CONDUCTIVITY
UNIT: µS/cm
Date,Time,ms,LEVEL,TEMPERATURE,CONDUCTIVITY
2016/06/21,11:10:53,0,0.692,17.20,1686.0
2016/06/21,11:20:53,0,0.670,14.90,1622.0
2016/06/21,11:30:53,0,0.666,14.60,1610.0
2016/06/21,11:40:53,0,0.666,14.50,1608.0
2016/06/21,11:50:53,0,0.666,14.50,1609.0
2016/06/21,12:00:53,0,0.662,14.50,1613.0
2016/06/21,12:10:53,0,0.660,14.60,1617.0
2016/06/21,12:20:53,0,0.654,14.60,1622.0
2016/06/21,12:30:53,0,0.658,14.70,1624.0
2016/06/21,12:40:53,0,0.654,14.70,1624.0
2016/06/21,12:50:53,0,0.650,14.70,1623.0
2016/06/21,13:00:53,0,0.644,14.60,1620.0
2016/06/21,13:10:53,0,0.644,14.60,1619.0
2016/06/21,13:20:53,0,0.648,14.60,1618.0
2016/06/21,13:30:53,0,0.640,14.50,1618.0
2016/06/21,13:40:53,0,0.640,14.50,1618.0
2016/06/21,13:50:53,0,0.638,14.50,1617.0
2016/06/21,14:00:53,0,0.642,14.50,1616.0
2016/06/21,14:10:53,0,0.644,14.50,1615.0
2016/06/21,14:20:53,0,0.644,14.40,1614.0
2016/06/21,14:30:53,0,0.642,14.40,1613.0
2016/06/21,14:40:53,0,0.646,14.40,1613.0
2016/06/21,14:50:53,0,0.644,14.40,1612.0
2016/06/21,15:00:53,0,0.652,14.40,1612.0
2016/06/21,15:10:53,0,0.648,14.30,1609.0
2016/06/21,15:20:53,0,0.654,14.30,1609.0
2016/06/21,15:30:53,0,0.652,14.40,1612.0
2016/06/21,15:40:53,0,0.654,14.40,1612.0
2016/06/21,15:50:53,0,0.654,14.40,1612.0
2016/06/21,16:00:53,0,0.654,14.40,1612.0
2016/06/21,16:10:53,0,0.650,14.30,1610.0
2016/06/21,16:20:53,0,0.648,14.30,1609.0
2016/06/21,16:30:53,0,0.648,14.30,1609.0
2016/06/21,16:40:53,0,0.650,14.30,1610.0
2016/06/21,16:50:53,0,0.646,14.30,1612.0
2016/06/21,17:00:53,0,0.648,14.30,1612.0
2016/06/21,17:10:53,0,0.646,14.30,1612.0
2016/06/21,17:20:53,0,0.642,14.30,1610.0
2016/06/21,17:30:53,0,0.644,14.30,1610.0
2016/06/21,17:40:53,0,0.642,14.30,1610.0
2016/06/21,17:50:53,0,0.640,14.30,1609.0
2016/06/21,18:00:53,0,0.644,14.30,1609.0
2016/06/21,18:10:53,0,0.648,14.30,1608.0
2016/06/21,18:20:53,0,0.648,14.30,1608.0
2016/06/21,18:30:53,0,0.644,14.30,1605.0
2016/06/21,18:40:53,0,0.648,14.30,1607.0
2016/06/21,18:50:53,0,0.652,14.20,1605.0
2016/06/21,19:00:53,0,0.648,14.20,1605.0
2016/06/21,19:10:53,0,0.648,14.20,1605.0
2016/06/21,19:20:53,0,0.650,14.20,1605.0
2016/06/21,19:30:53,0,0.652,14.20,1605.0
2016/06/21,19:40:53,0,0.648,14.20,1604.0
2016/06/21,19:50:53,0,0.650,14.20,1605.0
2016/06/21,20:00:53,0,0.652,14.20,1605.0
2016/06/21,20:10:53,0,0.652,14.20,1605.0
2016/06/21,20:20:53,0,0.654,14.20,1604.0
2016/06/21,20:30:53,0,0.654,14.20,1604.0
2016/06/21,20:40:53,0,0.654,14.20,1603.0
2016/06/21,20:50:53,0,0.656,14.20,1604.0
2016/06/21,21:00:53,0,0.658,14.20,1603.0
2016/06/21,21:10:53,0,0.660,14.10,1603.0
2016/06/21,21:20:53,0,0.658,14.10,1603.0
2016/06/21,21:30:53,0,0.658,14.10,1603.0
2016/06/21,21:40:53,0,0.658,14.10,1602.0
2016/06/21,21:50:53,0,0.658,14.10,1602.0
2016/06/21,22:00:53,0,0.660,14.10,1602.0
2016/06/21,22:10:53,0,0.662,14.10,1602.0
2016/06/21,22:20:53,0,0.662,14.10,1602.0
2016/06/21,22:30:53,0,0.660,14.10,1600.0
2016/06/21,22:40:53,0,0.658,14.10,1600.0
2016/06/21,22:50:53,0,0.658,14.10,1599.0
2016/06/21,23:00:53,0,0.662,14.10,1599.0
2016/06/21,23:10:53,0,0.662,14.10,1599.0
2016/06/21,23:20:53,0,0.668,14.00,1599.0
2016/06/21,23:30:53,0,0.660,14.00,1599.0
2016/06/21,23:40:53,0,0.664,14.00,1599.0
2016/06/21,23:50:53,0,0.664,14.00,1598.0
2016/06/22,00:00:53,0,0.664,14.00,1599.0
2016/06/22,00:10:53,0,0.660,14.00,1598.0
2016/06/22,00:20:53,0,0.666,14.00,1598.0
2016/06/22,00:30:53,0,0.662,14.00,1598.0
2016/06/22,00:40:53,0,0.662,14.00,1598.0
2016/06/22,00:50:53,0,0.664,14.00,1597.0
2016/06/22,01:00:53,0,0.660,14.00,1597.0
2016/06/22,01:10:53,0,0.662,14.00,1596.0
2016/06/22,01:20:53,0,0.666,14.00,1597.0
2016/06/22,01:30:53,0,0.666,14.00,1597.0
2016/06/22,01:40:53,0,0.662,14.00,1596.0
2016/06/22,01:50:53,0,0.664,13.90,1596.0
2016/06/22,02:00:53,0,0.664,13.90,1595.0
2016/06/22,02:10:53,0,0.662,13.90,1595.0
2016/06/22,02:20:53,0,0.664,13.90,1595.0
2016/06/22,02:30:53,0,0.664,13.90,1595.0
2016/06/22,02:40:53,0,0.662,13.90,1595.0
2016/06/22,02:50:53,0,0.664,13.90,1595.0
2016/06/22,03:00:53,0,0.662,13.90,1594.0
2016/06/22,03:10:53,0,0.660,13.90,1594.0
2016/06/22,03:20:53,0,0.664,13.90,1594.0
2016/06/22,03:30:53,0,0.660,13.90,1593.0
2016/06/22,03:40:53,0,0.662,13.90,1593.0
2016/06/22,03:50:53,0,0.660,13.90,1593.0
2016/06/22,04:00:53,0,0.662,13.90,1593.0
2016/06/22,04:10:53,0,0.660,13.90,1593.0
2016/06/22,04:20:53,0,0.660,13.90,1593.0
2016/06/22,04:30:53,0,0.660,13.80,1593.0
2016/06/22,04:40:53,0,0.662,13.80,1593.0
2016/06/22,04:50:53,0,0.662,13.80,1592.0
2016/06/22,05:00:53,0,0.662,13.80,1592.0
2016/06/22,05:10:53,0,0.660,13.80,1592.0
2016/06/22,05:20:53,0,0.662,13.80,1592.0
2016/06/22,05:30:53,0,0.664,13.80,1592.0
2016/06/22,05:40:53,0,0.666,13.80,1592.0
2016/06/22,05:50:53,0,0.666,13.80,1592.0
2016/06/22,06:00:53,0,0.666,13.80,1592.0
2016/06/22,06:10:53,0,0.666,13.80,1592.0
2016/06/22,06:20:53,0,0.664,13.80,1592.0
2016/06/22,06:30:53,0,0.672,13.80,1592.0
2016/06/22,06:40:53,0,0.668,13.80,1593.0
2016/06/22,06:50:53,0,0.670,13.80,1592.0
2016/06/22,07:00:53,0,0.670,13.80,1593.0
2016/06/22,07:10:53,0,0.670,13.80,1592.0
2016/06/22,07:20:53,0,0.674,13.80,1594.0
2016/06/22,07:30:53,0,0.674,13.80,1594.0
2016/06/22,07:40:53,0,0.672,13.80,1594.0
2016/06/22,07:50:53,0,0.672,13.90,1595.0
2016/06/22,08:00:53,0,0.670,13.90,1595.0
2016/06/22,08:10:53,0,0.670,13.90,1596.0
2016/06/22,08:20:53,0,0.676,13.90,1597.0
2016/06/22,08:30:53,0,0.676,13.90,1598.0
2016/06/22,08:40:53,0,0.680,14.00,1600.0
2016/06/22,08:50:53,0,0.682,14.00,1600.0
2016/06/22,09:00:53,0,0.682,14.00,1600.0
2016/06/22,09:10:53,0,0.682,14.00,1603.0
2016/06/22,09:20:53,0,0.682,14.00,1603.0
2016/06/22,09:30:53,0,0.678,14.00,1603.0
2016/06/22,09:40:53,0,0.682,14.00,1604.0
2016/06/22,09:50:53,0,0.682,14.10,1604.0
2016/06/22,10:00:53,0,0.680,14.10,1604.0
2016/06/22,10:10:53,0,0.680,14.10,1605.0
2016/06/22,10:20:53,0,0.682,14.10,1606.0
2016/06/22,10:30:53,0,0.682,14.10,1607.0
2016/06/22,10:40:53,0,0.686,14.10,1607.0
2016/06/22,10:50:53,0,0.688,14.10,1607.0
2016/06/22,11:00:53,0,0.686,14.10,1607.0
2016/06/22,11:10:53,0,0.688,14.10,1607.0
2016/06/22,11:20:53,0,0.686,14.10,1607.0
2016/06/22,11:30:53,0,0.684,14.10,1607.0
2016/06/22,11:40:53,0,0.690,14.10,1607.0
2016/06/22,11:50:53,0,0.702,14.10,1606.0
2016/06/22,12:00:53,0,0.704,14.10,1608.0
2016/06/22,12:10:53,0,0.694,14.20,1613.0
2016/06/22,12:20:53,0,0.690,14.30,1615.0
2016/06/22,12:30:53,0,0.680,14.30,1615.0
2016/06/22,12:40:53,0,0.680,14.20,1613.0
2016/06/22,12:50:53,0,0.680,14.20,1612.0
2016/06/22,13:00:53,0,0.672,14.20,1612.0
2016/06/22,13:10:53,0,0.670,14.20,1612.0
2016/06/22,13:20:53,0,0.676,14.20,1610.0
2016/06/22,13:30:53,0,0.678,14.20,1610.0
2016/06/22,13:40:53,0,0.682,14.20,1610.0
2016/06/22,13:50:53,0,0.682,14.20,1610.0
2016/06/22,14:00:53,0,0.680,14.20,1609.0
2016/06/22,14:10:53,0,0.682,14.20,1609.0
2016/06/22,14:20:53,0,0.678,14.20,1608.0
2016/06/22,14:30:53,0,0.676,14.20,1609.0
2016/06/22,14:40:53,0,0.686,14.20,1609.0
2016/06/22,14:50:53,0,0.680,14.20,1608.0
2016/06/22,15:00:53,0,0.672,14.10,1608.0
2016/06/22,15:10:53,0,0.676,14.10,1608.0
2016/06/22,15:20:53,0,0.686,14.10,1608.0
2016/06/22,15:30:53,0,0.684,14.10,1608.0
2016/06/22,15:40:53,0,0.686,14.10,1608.0
2016/06/22,15:50:53,0,0.678,14.10,1608.0
2016/06/22,16:00:53,0,0.684,14.20,1609.0
2016/06/22,16:10:53,0,0.678,14.20,1610.0
2016/06/22,16:20:53,0,0.678,14.20,1610.0
2016/06/22,16:30:53,0,0.670,14.20,1610.0
2016/06/22,16:40:53,0,0.672,14.20,1610.0
2016/06/22,16:50:53,0,0.670,14.20,1610.0
2016/06/22,17:00:53,0,0.668,14.20,1610.0
2016/06/22,17:10:53,0,0.664,14.20,1612.0
2016/06/22,17:20:53,0,0.664,14.20,1610.0
2016/06/22,17:30:53,0,0.662,14.20,1610.0
2016/06/22,17:40:53,0,0.662,14.20,1609.0
2016/06/22,17:50:53,0,0.660,14.20,1609.0
2016/06/22,18:00:53,0,0.656,14.20,1608.0
2016/06/22,18:10:53,0,0.662,14.20,1609.0
2016/06/22,18:20:53,0,0.662,14.20,1609.0
2016/06/22,18:30:53,0,0.664,14.20,1610.0
2016/06/22,18:40:53,0,0.662,14.20,1609.0
2016/06/22,18:50:53,0,0.664,14.20,1609.0
2016/06/22,19:00:53,0,0.664,14.10,1608.0
2016/06/22,19:10:53,0,0.662,14.10,1608.0
2016/06/22,19:20:53,0,0.666,14.10,1608.0
2016/06/22,19:30:53,0,0.664,14.10,1608.0
2016/06/22,19:40:53,0,0.668,14.10,1607.0
2016/06/22,19:50:53,0,0.666,14.10,1607.0
2016/06/22,20:00:53,0,0.668,14.10,1607.0
2016/06/22,20:10:53,0,0.664,14.10,1607.0
2016/06/22,20:20:53,0,0.666,14.10,1607.0
2016/06/22,20:30:53,0,0.666,14.10,1606.0
2016/06/22,20:40:53,0,0.666,14.10,1606.0
2016/06/22,20:50:53,0,0.668,14.10,1605.0
2016/06/22,21:00:53,0,0.668,14.10,1605.0
2016/06/22,21:10:53,0,0.672,14.10,1606.0
2016/06/22,21:20:53,0,0.666,14.10,1605.0
2016/06/22,21:30:53,0,0.668,14.00,1605.0
2016/06/22,21:40:53,0,0.666,14.00,1605.0
2016/06/22,21:50:53,0,0.664,14.00,1605.0
2016/06/22,22:00:53,0,0.664,14.00,1604.0
2016/06/22,22:10:53,0,0.660,14.00,1604.0
2016/06/22,22:20:53,0,0.662,14.00,1604.0
2016/06/22,22:30:53,0,0.658,14.00,1605.0
2016/06/22,22:40:53,0,0.662,14.00,1604.0
